path,change,reason
.gitignore,created,"Exclude raw dataset, secrets and temporary machine artifacts"
README.md,modified,Replace initial placeholder with verified project documentation
audit/README.md,created,Documentation of environment or historical evidence provenance
audit/audit_report_th.md,modified,Preserve historical audit; add publication provenance and portable links
audit/embedded_outputs.txt,modified,Preserve historical outputs; redact temporary environment paths
audit/publication/change_log.csv,created,New final publication verification or provenance evidence
audit/publication/compatibility_checks.json,created,New final publication verification or provenance evidence
audit/publication/execution.json,created,New final publication verification or provenance evidence
audit/publication/file_manifest.csv,created,New final publication verification or provenance evidence
audit/publication/final_audit_th.md,created,New final publication verification or provenance evidence
audit/publication/historical_output_comparison.csv,created,New final publication verification or provenance evidence
audit/publication/independent_metric_checks.csv,created,New final publication verification or provenance evidence
audit/publication/independent_verification.json,created,New final publication verification or provenance evidence
audit/publication/inspection.json,created,New final publication verification or provenance evidence
audit/publication/notebook_source_diff.patch,created,New final publication verification or provenance evidence
audit/publication/repository_checks.json,created,New final publication verification or provenance evidence
audit/publication/schema_checks.json,created,New final publication verification or provenance evidence
audit/publication/validation_candidate_probabilities.csv,created,New final publication verification or provenance evidence
audit/publication/validation_predictions.csv,created,New final publication verification or provenance evidence
audit/publication/workspace_inventory.json,created,New final publication verification or provenance evidence
notebook.ipynb,modified,"Fix schema order, flow diagram, calibration explanation and SHAP metadata; execute fresh kernel"
outputs/cv_results.csv,modified,Regenerated by final clean execution; analytical values verified against prior audit
outputs/shap_global_importance.csv,modified,Regenerated by final clean execution; analytical values verified against prior audit
outputs/shap_source_importance.csv,modified,Regenerated by final clean execution; analytical values verified against prior audit
requirements-notes.md,created,Documentation of environment or historical evidence provenance
results.zip,modified,Rebuild from final output files and final validation report
scripts/check_compatibility.py,created,Portable reproducibility and independent verification utility
scripts/verify_project.py,created,Portable reproducibility and independent verification utility
validation_report.json,modified,Record final execution and independent verification
